"ASIN","Result","Brand"
"B09NKQMDXQ","APPROVAL",""
"B09NL725VL","OK",""
"B09NL77Q73","APPROVAL",""
"B09NLBMT97","APPROVAL",""
"B09NLFSMK2","APPROVAL",""
"B09NLGVH9C","APPROVAL",""
"B09NLGXQZ9","APPROVAL",""
"B09NLMW7FS","APPROVAL",""
"B09NLQC6G1","OK",""
"B09NLSDMFF","APPROVAL",""
"B09NLTQC7W","APPROVAL",""
"B09NLTQCBD","APPROVAL",""
"B09NLV4MNR","APPROVAL",""
"B09NLV96C1","APPROVAL",""
"B09NM12ZN4","APPROVAL",""
"B09NM17LG9","APPROVAL",""
