"ASIN","Result","Brand"
"B0B34H1B6L","OK",""
"B0B34H3M5P","APPROVAL",""
"B0B34H4B29","APPROVAL",""
"B0B34H6CC3","APPROVAL",""
"B0B34H9CKG","APPROVAL",""
"B0B34HCMN2","APPROVAL",""
"B0B34HJYM3","APPROVAL",""
"B0B34HNV5G","APPROVAL",""
"B0B34HPX4C","APPROVAL",""
"B0B34J29FQ","APPROVAL",""
"B0B34K522S","APPROVAL",""
